Individual,Measurement1,Measurement2
1,22.15310371,22.53527164
2,39.455741,38.21785332
3,19.7735778,20.52925119
4,49.77515414,48.64653246
5,50.00809958,68.60293609
6,50.29031351,47.01252727
7,16.34656303,14.96033712
8,27.37576017,28.56594391
9,28.85612072,26.96440245
10,26.56155266,25.87027034
11,38.00198019,39.45154969
12,32.88966548,32.96818588
13,41.14094627,40.89096766
14,41.89302759,38.73197699
15,54.3644914,52.3776145
16,41.19779988,38.41733995
17,47.54170864,38.88703416
18,23.32655283,24.05993304
