Individual,Individual2,Photo Number,Photo,Measurement Number,Left Testis Width,Left Testis Length,Left Testis Volume,Right Testis Width,Right Testis Length,Right Testis Volume,Total Testes Volume,Average Photo Volume,Final Measurement
G9 AM 1,1,000-0574,1,1,2.5,3.173,10.38361822,2.451,3.377,10.62224479,21.00586301,,
,1,000-0574,1,2,2.537,3.116,10.50115347,2.537,3.331,11.22571958,21.72687306,,
,1,000-0574,1,3,2.489,3.18,10.31514971,2.521,3.248,10.80837326,21.12352297,,
,1,000-0574,1,4,2.575,3.253,11.29372354,2.549,3.275,11.14165221,22.43537575,,
,1,000-0574,1,5,2.417,3.126,9.56182733,2.5,3.266,10.68796001,20.24978734,21.30828442,
,1,000-0636,2,1,2.301,2.93,8.122682541,2.833,3.351,14.08206028,22.20474283,,
,1,000-0636,2,2,2.443,3.297,10.30301906,2.992,3.056,14.32435747,24.62737654,,
,1,000-0636,2,3,2.406,3.094,9.377998905,2.877,3.593,15.57168333,24.94968224,,
,1,000-0636,2,4,2.335,3.073,8.772733821,2.704,3.288,12.58762527,21.36035909,,
,1,000-0636,2,5,2.351,2.98,8.624226315,2.815,3.187,13.22322794,21.84745425,22.99792299,22.15310371
G9 AM 2,2,000-0582,1,1,3.082,3.737,18.5860452,3.128,3.908,20.02104151,38.60708671,,
,2,000-0582,1,2,3.165,3.731,19.56912017,3.237,3.839,21.06212245,40.63124261,,
,2,000-0582,1,3,3.315,3.775,21.72114145,3.131,3.683,18.90455576,40.62569721,,
,2,000-0582,1,4,3.295,3.683,20.93684216,3.307,3.842,22.0000857,42.93692787,,
,2,000-0582,1,5,3.176,3.74,19.75291578,3.129,3.89,19.94157012,39.6944859,40.49908806,
,2,000-0591,2,1,2.963,3.723,17.11413532,2.963,3.953,18.17141469,35.28555001,,
,2,000-0591,2,2,3.149,3.724,19.33542025,3.103,3.959,19.95940889,39.29482914,,
,2,000-0591,2,3,2.93,3.792,17.04520354,3.021,3.959,18.91845101,35.96365455,,
,2,000-0591,2,4,2.978,3.595,16.69348087,2.929,4.046,18.17453232,34.86801319,,
,2,000-0591,2,5,2.979,3.568,16.5792345,3.023,3.92,18.75689657,35.33613108,36.14963559,
,2,000-0633,3,1,2.573,4.047,14.02850525,3.439,3.977,24.62740004,38.65590529,,
,2,000-0633,3,2,2.621,4.356,15.66825155,3.551,4.196,27.70355142,43.37180296,,
,2,000-0633,3,3,3,4.324,14.96540453,3.4,4.378,26.49916648,41.46457102,,
,2,000-0633,3,4,2.67,4.229,15.78551772,3.524,4.358,28.33724648,44.1227642,,
,2,000-0633,3,5,2.725,4.103,15.95266159,3.498,3.906,25.02479172,40.97745331,41.71849936,39.455741
G5 AM 1,3,000-0421,1,1,2.541,3.113,10.52415106,2.588,3.226,11.31335798,21.83750904,,
,3,000-0421,1,2,2.435,3.183,9.881734747,2.583,2.911,10.16926676,20.05100151,,
,3,000-0421,1,3,2.422,3.122,9.589143077,2.51,3.157,10.41407371,20.00321678,,
,3,000-0421,1,4,2.48,3.358,10.81390813,2.514,2.972,9.835081749,20.64898988,,
,3,000-0421,1,5,2.478,3.187,10.24668274,2.537,3.135,10.5651849,20.81186764,20.67051697,
,3,000-0438,2,1,2.512,3.073,10.15314182,2.332,3.131,8.915357897,19.06849972,,
,3,000-0438,2,2,2.498,3.079,10.05988878,2.365,3.284,9.617541321,19.6774301,,
,3,000-0438,2,3,2.429,3.136,9.687901308,2.385,3.287,9.78982871,19.47773002,,
,3,000-0438,2,4,2.315,3.129,8.780235735,2.293,3.085,8.493015176,17.27325091,,
,3,000-0438,2,5,2.491,3.075,9.990591403,2.288,3.196,8.760268819,18.75086022,18.84955419,
,3,000-0440,3,1,2.083,3.171,7.203995025,2.556,3.276,11.20635083,18.41034585,,
,3,000-0440,3,2,2.174,3.213,7.951122186,2.528,3.379,11.30683236,19.25795455,,
,3,000-0440,3,3,2.16,3.246,7.929661344,2.554,3.347,11.43131311,19.36097446,,
,3,000-0440,3,4,2.165,3.068,7.529563131,2.593,3.335,11.74084877,19.2704119,,
,3,000-0440,3,5,2.263,3.445,9.237553283,2.657,3.643,13.46607107,22.70362436,19.80066222,19.7735778
G11 AM1,4,000-0673,1,1,3.664,4.023,28.27870939,2.934,4.088,18.42594322,46.70465261,,
,4,000-0673,1,2,3.655,4.114,28.77648021,2.914,4.178,18.57574124,47.35222146,,
,4,000-0673,1,3,3.678,4.191,29.68518316,3.167,4.518,23.72689868,53.41208184,,
,4,000-0673,1,4,3.669,4.303,30.32950986,2.996,4.316,20.28447054,50.6139804,,
,4,000-0673,1,5,3.532,4.21,27.4993297,2.955,4.263,19.4907668,46.9900965,49.01460656,
,4,000-0676,2,1,3.349,3.893,22.86195266,3.47,3.932,24.78968915,47.65164181,,
,4,000-0676,2,2,3.426,4.233,26.01486689,3.483,4.222,26.8178403,52.83270719,,
,4,000-0676,2,3,3.524,4.254,27.66100195,3.627,4.126,28.41992694,56.08092889,,
,4,000-0676,2,4,3.437,3.982,24.62968981,3.5,4.077,26.15022455,50.77991436,,
,4,000-0676,2,5,3.19,3.901,20.78528284,3.394,4.07,24.54803351,45.33331636,50.53570172,49.77515414
G11 AM2,5,000-0686,1,1,2.671,4.674,17.45963283,4.052,3.728,32.04892002,49.50855285,,
,5,000-0686,1,2,2.769,4.724,18.96506881,3.911,3.745,29.99342602,48.95849483,,
,5,000-0686,1,3,2.802,5.021,20.6407325,3.893,3.665,29.08314769,49.72388019,,
,5,000-0686,1,4,2.831,4.748,19.92457522,3.989,3.641,30.33523571,50.25981093,,
,5,000-0686,1,5,2.652,4.701,17.31154835,4.136,3.827,34.27821076,51.58975911,50.00809958,50.00809958
G11 AM3,6,000-0693,1,1,3.64,4.362,30.26126306,3.059,3.942,19.31408757,49.57535063,,
,6,000-0693,1,2,3.442,4.501,27.92089705,3.37,3.942,23.44094112,51.36183817,,
,6,000-0693,1,3,3.63,4.301,29.67435685,3.417,3.564,21.78844694,51.46280379,,
,6,000-0693,1,4,3.686,4.441,31.59294106,3.018,3.38,16.11958265,47.71252371,,
,6,000-0693,1,5,3.76,4.32,31.97849782,3.221,3.564,19.36055342,51.33905123,50.29031351,50.29031351
G6 AM1,7,000-0458,1,1,2.182,2.975,7.416433123,2.305,2.838,7.895013426,15.31144655,,
,7,000-0458,1,2,2.328,3.075,8.725889206,2.378,2.95,8.734626499,17.4605157,,
,7,000-0458,1,3,2.272,2.916,7.881389592,2.323,2.841,8.027277481,15.90866707,,
,7,000-0458,1,4,2.162,2.885,7.060831036,2.386,2.914,8.686184472,15.74701551,,
,7,000-0458,1,5,2.193,2.994,7.539241963,2.364,3,8.778388989,16.31763095,16.14905516,
,7,000-0459,2,1,2.322,3.088,8.717668387,2.421,2.946,9.041093148,17.75876154,,
,7,000-0459,2,2,2.246,2.942,7.770711664,2.345,3.05,8.781812409,16.55252407,,
,7,000-0459,2,3,2.185,2.955,7.386845067,2.382,3.092,9.185898066,16.57274313,,
,7,000-0459,2,4,2.22,2.982,7.695063541,2.294,2.909,8.01547328,15.71053682,,
,7,000-0459,2,5,2.179,2.975,7.396053651,2.327,3.079,8.729735348,16.125789,16.54407091,16.34656303
G12 AM1,8,000-0742,1,1,2.529,2.959,9.909260514,2.961,3.281,15.06196616,24.97122667,,
,8,000-0742,1,2,2.387,2.994,8.932134547,3.012,3.258,15.47603265,24.4081672,,
,8,000-0742,1,3,2.434,2.961,9.184979207,3.009,3.257,15.44047855,24.62545776,,
,8,000-0742,1,4,2.53,3.009,10.08467374,3.133,3.319,17.05794322,27.14261696,,
,8,000-0742,1,5,2.523,3.06,10.19892856,2.967,3.211,14.80041934,24.99934791,25.2293633,
,8,000-0743,2,1,2.747,3.338,13.18870862,2.889,3.524,15.40031506,28.58902368,,
,8,000-0743,2,2,2.768,3.463,13.89259213,3.033,3.662,17.63850542,31.53109755,,
,8,000-0743,2,3,2.7,3.226,12.31375515,3.04,3.741,18.10228915,30.4160443,,
,8,000-0743,2,4,2.745,3.4,13.41412154,3.047,3.586,17.43226487,30.8463864,,
,8,000-0743,2,5,2.652,3.34,12.29963231,2.96,3.754,17.22171162,29.52134393,30.18077917,
,8,000-0775,3,1,2.498,3.495,11.4190683,2.836,3.39,14.27613919,25.69520748,,
,8,000-0775,3,2,2.467,3.486,11.10872726,2.997,3.469,16.31459917,27.42332642,,
,8,000-0775,3,3,2.567,3.678,12.69001351,2.793,3.38,13.80566065,26.49567416,,
,8,000-0775,3,4,2.456,3.592,11.34466498,2.975,3.435,15.91839598,27.26306096,,
,8,000-0775,3,5,2.561,3.429,11.77566018,2.844,3.526,14.93276101,26.70842118,26.71713804,27.37576017
G12 AM 2,9,000-0748,1,1,2.691,2.921,11.07535294,2.942,3.158,14.31186018,25.38721312,,
