Individual,Testes Size,Photo,ID,Photo ID,Within-photo CV,Photo score
1,21.00586301,1,G9 AM 1,000-0574,3.8,4
1,21.72687306,1,G9 AM 1,000-0636,7.2,3
1,21.12352297,1,G9 AM 1,000-0582,3.9,4
1,22.43537575,1,G9 AM 1,000-0591,5.2,5
1,20.24978734,1,G9 AM 1,000-0633,5.2,3
1,22.20474283,2,G9 AM 1,000-0421,3.6,5
1,24.62737654,2,G9 AM 1,000-0438,5,4
1,24.94968224,2,G9 AM 1,000-0440,8.4,4
1,21.36035909,2,G9 AM 1,000-0673,6,3
1,21.84745425,2,G9 AM 1,000-0676,8.4,3
2,38.60708671,1,G9 AM 2,000-0686,2.9,3
2,40.63124261,1,G9 AM 2,000-0693,3.3,4
2,40.62569721,1,G9 AM 2,000-0458,5.1,5
2,42.93692787,1,G9 AM 2,000-0459,4.6,5
2,39.6944859,1,G9 AM 2,000-0742,4.4,4
2,35.28555001,2,G9 AM 2,000-0743,3.8,4
2,39.29482914,2,G9 AM 2,000-0775,2.6,5
2,35.96365455,2,G9 AM 2,000-0748,4.6,5
2,34.86801319,2,G9 AM 2,000-0765,4.4,5
2,35.33613108,2,G9 AM 2,000-0781,6.1,5
2,38.65590529,3,G9 AM 2,000-0807,5.4,4
2,43.37180296,3,G9 AM 2,000-0817,6.5,3
2,41.46457102,3,G9 AM 2,000-0824,5.4,5
2,44.1227642,3,G9 AM 2,000-0867,4,5
2,40.97745331,3,G9 AM 2,000-0885,4.2,3
3,21.83750904,1,G5 AM 1,000-1052,2.8,4
3,20.05100151,1,G5 AM 1,000-1056,3.3,4
3,20.00321678,1,G5 AM 1,000-0832,2.6,4
3,20.64898988,1,G5 AM 1,000-0833,4.8,4
3,20.81186764,1,G5 AM 1,000-0940,3.5,4
3,19.06849972,2,G5 AM 1,000-0947,8.3,5
3,19.6774301,2,G5 AM 1,000-0955,3.4,3
3,19.47773002,2,G5 AM 1,000-0990,5.2,5
3,17.27325091,2,G5 AM 1,000-0996,4.4,3
3,18.75086022,2,G5 AM 1,000-1020,5.9,3
3,18.41034585,3,G5 AM 1,000-1031,6.9,4
3,19.25795455,3,G5 AM 1,000-1074,3.2,3
3,19.36097446,3,G5 AM 1,000-1138,3.4,5
3,19.2704119,3,G5 AM 1,,,
3,22.70362436,3,G5 AM 1,,,
4,46.70465261,1,G11 AM 1,,,
4,47.35222146,1,G11 AM 1,,,
4,53.41208184,1,G11 AM 1,,,
4,50.6139804,1,G11 AM 1,,,
4,46.9900965,1,G11 AM 1,,,
4,47.65164181,2,G11 AM 1,,,
4,52.83270719,2,G11 AM 1,,,
4,56.08092889,2,G11 AM 1,,,
4,50.77991436,2,G11 AM 1,,,
4,45.33331636,2,G11 AM 1,,,
5,49.50855285,1,G11 AM 2,,,
5,48.95849483,1,G11 AM 2,,,
5,49.72388019,1,G11 AM 2,,,
5,50.25981093,1,G11 AM 2,,,
5,51.58975911,1,G11 AM 2,,,
6,49.57535063,1,G11 AM 3,,,
6,51.36183817,1,G11 AM 3,,,
6,51.46280379,1,G11 AM 3,,,
6,47.71252371,1,G11 AM 3,,,
6,51.33905123,1,G11 AM 3,,,
7,15.31144655,1,G6 AM 1,,,
7,17.4605157,1,G6 AM 1,,,
7,15.90866707,1,G6 AM 1,,,
7,15.74701551,1,G6 AM 1,,,
7,16.31763095,1,G6 AM 1,,,
7,17.75876154,2,G6 AM 1,,,
7,16.55252407,2,G6 AM 1,,,
7,16.57274313,2,G6 AM 1,,,
7,15.71053682,2,G6 AM 1,,,
7,16.125789,2,G6 AM 1,,,
